Fall Term,4.0 and above,3.7 - 3.9,3.30 - 3.69,3.00 - 3.29,Below 3.0
2023,82.0,13.0,1.0,0.0,4.0
2022,83.0,12.0,1.0,0.0,4.0
2021,79.0,15.0,2.0,0.0,4.0
2020,74.0,18.0,4.0,0.0,5.0
2019,69.0,20.0,6.0,0.0,5.0
2018,70.0,21.0,5.0,0.0,4.0
2017,70.0,19.0,4.0,0.0,6.0
2016,63.0,23.0,6.0,0.0,7.0
2015,68.0,18.0,4.0,0.0,7.0
2014,67.0,20.0,4.0,0.0,7.0
2013,67.0,21.0,6.0,0.0,6.0
2012,59.0,26.0,9.0,2.0,4.0
2011,52.0,32.0,13.0,2.0,3.0
2010,52.0,36.0,11.0,3.0,3.0
2009,52.0,34.0,12.0,5.0,2.0
2008,47.0,37.0,15.0,5.0,3.0
2007,47.0,36.0,15.0,5.0,3.0
2006,44.0,38.0,16.0,5.0,4.0
2005,47.0,35.0,16.0,5.0,5.0
2004,51.0,35.0,13.0,6.0,4.0
2003,51.0,33.0,14.0,7.0,3.0
2002,47.0,34.0,17.0,7.0,4.0
2001,48.0,37.0,14.0,6.0,4.0
2000,54.0,33.0,12.0,8.0,4.0
1999,51.0,34.0,13.0,8.0,5.0
1998,41.0,34.0,23.0,9.0,5.0
1997,43.0,33.0,22.0,9.0,6.0
1996,43.0,33.0,21.0,10.0,6.0
1995,39.0,31.0,26.0,11.0,7.0
1994,34.0,28.0,30.0,13.0,8.0
